0.0004673513	0.0004505084	0.0003338623	0.0004854994	0.0005695453	0.0008204544	0.0011508796	0.001040883	0.0013331329	0.0018784255	0.0019953764	0.0021079267	0.0011869766	0.001176244	0.0025692626	0.0047732408
0.0003408135	0.0003340021	0.0003813047	0.0004107647	0.0004397803	0.0006112316	0.0005991531	0.000841858	0.0007110845	0.0003902061	0.0006287538	0.000781617	0.0015573878	0.002141176	0.0020316238	0.0041056507
0.0004080673	0.000389134	0.0003719909	0.0003361596	0.0002750127	0.0002854356	0.0003451545	0.0004366411	0.0003658629	0.0003371862	0.0004181459	0.0005606421	0.0008311261	0.0012892413	0.0013403713	0.0015429654
0.0003203876	0.0002515974	0.0001636219	0.0001565705	0.0001312067	0.0001230229	0.0001341171	0.0001800152	0.0001853804	0.0002114486	0.0002698334	0.000229637	0.0003409352	0.0005627606	0.000512999	0.0012347072
0.0003482592	0.0002080244	0.0001448488	0.0001547767	0.0001465563	0.0001559085	0.0001576835	0.0001323076	0.000135358	0.0001965403	0.0002445513	0.0002422851	0.0003977184	0.0004772103	0.0005645466	0.0013198394
0.0003142883	0.0002231258	0.0001506938	0.0001816021	0.0001777629	0.0001966585	0.0002317085	0.000180171	0.0002759298	0.0003240237	0.0003953066	0.0005544976	0.0003865362	0.0005962782	0.000673578	0.0012889596
0.0006230464	0.0003923056	0.0003699757	0.000329397	0.0002314958	0.0003241739	0.0003159332	0.0002904521	0.0004448802	0.000502888	0.0006094855	0.0007866218	0.0006495948	0.000770181	0.0014998321	0.0011709427
0.0005336669	0.000496867	0.000561249	0.0004828807	0.000452608	0.0003693699	0.0004212894	0.0005439889	0.0006486764	0.0006700172	0.0009473327	0.0009341983	0.0014731036	0.0031754553	0.0040746553	0.0037375111
0.0005562301	0.0005398558	0.000726728	0.0006345372	0.0007014854	0.0007335791	0.0010964269	0.0010258777	0.001113702	0.0012954657	0.0017767941	0.0019335917	0.0023181012	0.0034070621	0.0063958607	0.0068954471

